id,titre,artiste,album,annee,genre,duree_sec,ecoutes
112,Fever Streets,Ludwig van Beethoven,Shadows Sessions,2001,CLASSIQUE,184,53266
113,Horizon Tears,Led Zeppelin,Ghost Sessions,1987,ROCK,131,3717
114,Sunset Rain,The Beatles,Horizon Sessions,1986,ROCK,161,777236
115,Whispers Tears,Drake,Whispers Sessions,1970,HIP_HOP,148,78898
116,Reckless Rain,Johnny Cash,Whispers Sessions,1972,COUNTRY,333,387151
117,Whispers Rain,Frank Sinatra,Hollow Sessions,1978,JAZZ,130,323232
118,Wonder Heart,Eminem,Wonder Sessions,1992,HIP_HOP,173,715198
119,Static Road,Ed Sheeran,Fallen Sessions,2019,POP,263,426117
120,Fragile Rain,Louis Armstrong,Chaos Sessions,1985,JAZZ,341,170395
121,Storm Fire,Metallica,Wonder Sessions,1996,METAL,126,188073
122,Chaos Waves,Avicii,Storm Sessions,1996,ELECTRONIC,325,702448
123,Fragile Love,Dolly Parton,Neon Sessions,1980,COUNTRY,321,735343
124,Burning Heart,Nirvana,Fever Sessions,2000,ROCK,176,209267
125,Chaos Freedom,Black Sabbath,Fallen Sessions,1989,METAL,330,238651
126,Midnight Sky,Ed Sheeran,Burning Sessions,1991,POP,191,72792
127,Neon Truth,Deadmau5,Horizon Sessions,2002,ELECTRONIC,222,712526
128,Whispers Waves,Black Sabbath,Midnight Sessions,1977,METAL,344,273903
129,Echoes Streets,Michael Jackson,Fading Sessions,1976,POP,272,455673
130,Fragile Waves,Eminem,Hollow Sessions,2008,HIP_HOP,250,121263
131,Wonder Motion,Travis Scott,Lonely Sessions,1986,HIP_HOP,131,743215
132,Midnight Silence,Kendrick Lamar,Chaos Sessions,2021,HIP_HOP,257,720221
133,Fragile Sky,Avicii,Fallen Sessions,1997,ELECTRONIC,137,696503
134,Endless Fate,Bob Marley,Endless Sessions,2012,REGGAE,337,130679
135,Wonder Light,Avicii,Shadows Sessions,1989,ELECTRONIC,290,428231
136,Burning Light,The Beatles,Whispers Sessions,1978,ROCK,169,440869
137,Burning Fire,Antonio Vivaldi,Ashes Sessions,2006,CLASSIQUE,197,425800
138,Ghost Dreams,Nina Simone,Distant Sessions,1988,JAZZ,173,450770
139,Echoes Fate,Metallica,Horizon Sessions,1990,METAL,239,463246
140,Static Sky,Drake,Shadows Sessions,2000,HIP_HOP,323,771711
141,Static Nights,Michael Jackson,Distant Sessions,2002,POP,289,663686
142,Endless Nights,Louis Armstrong,Ghost Sessions,2018,JAZZ,180,705477
143,Wild Sky,Adele,Silent Sessions,1971,POP,131,256736
144,Ashes Nights,Jay-Z,Crystal Sessions,1996,HIP_HOP,346,660356
145,Lonely Memory,Frank Sinatra,Velvet Sessions,1995,JAZZ,182,154739
146,Reckless Dreams,Ludwig van Beethoven,Wonder Sessions,2018,CLASSIQUE,340,111764
147,Hollow Love,Deadmau5,Electric Sessions,2021,ELECTRONIC,298,543118
148,Fading Reflection,Drake,Wild Sessions,2024,HIP_HOP,151,478634
149,Storm Freedom,Guns N' Roses,Static Sessions,2003,ROCK,263,624377
150,Sunset Freedom,The Beatles,Ashes Sessions,2022,ROCK,304,529298
151,Ghost Reflection,Kendrick Lamar,Crystal Sessions,1980,HIP_HOP,310,497732
152,Neon Love,Drake,Ghost Sessions,2010,HIP_HOP,190,546622
153,Horizon Love,Jay-Z,Neon Sessions,1998,HIP_HOP,139,748206
154,Wild Streets,Adele,Endless Sessions,1990,POP,348,566390
155,Silent Rain,Led Zeppelin,Wild Sessions,1994,ROCK,297,160227
156,Lonely Nights,Daft Punk,Hollow Sessions,1996,ELECTRONIC,204,568969
157,Hollow Heart,Drake,Lonely Sessions,2023,HIP_HOP,227,408396
158,Sunset Motion,Johnny Cash,Reckless Sessions,1971,COUNTRY,339,603655
159,Velvet Dreams,Travis Scott,Fallen Sessions,1989,HIP_HOP,312,408930
160,Wonder Tears,Dolly Parton,Whispers Sessions,2017,COUNTRY,308,572661
161,Ashes Love,Metallica,Velvet Sessions,1984,METAL,189,457007
162,Midnight Memory,Jay-Z,Endless Sessions,2012,HIP_HOP,293,423956
163,Electric Freedom,Avicii,Chaos Sessions,1978,ELECTRONIC,279,560069
164,Chaos Memory,Queen,Echoes Sessions,2006,ROCK,289,28418
165,Horizon Tears,Led Zeppelin,Silent Sessions,1999,ROCK,166,52727
166,Burning Waves,The Weeknd,Lonely Sessions,1999,RNB,203,353894
167,Wonder Memory,Deadmau5,Neon Sessions,2018,ELECTRONIC,332,442042
168,Ghost Nights,The Weeknd,Velvet Sessions,1971,RNB,311,565621
169,Fallen Love,Eagles,Horizon Sessions,1974,ROCK,319,683414
170,Sunset Dreams,Eagles,Wild Sessions,1982,ROCK,334,21369
171,Silent Love,Louis Armstrong,Silent Sessions,2000,JAZZ,291,119946
172,Lonely Freedom,Frank Sinatra,Reckless Sessions,1986,JAZZ,316,386814
173,Ashes Fate,Michael Jackson,Fragile Sessions,2015,POP,149,171720
174,Golden Motion,Adele,Midnight Sessions,1989,POP,267,710250
175,Burning Memory,Bob Marley,Reckless Sessions,1982,REGGAE,139,620859
176,Ghost Love,Daft Punk,Golden Sessions,2014,ELECTRONIC,317,316232
177,Static Fate,Dolly Parton,Storm Sessions,1977,COUNTRY,323,593423
178,Fading Truth,Metallica,Whispers Sessions,1997,METAL,289,388571
179,Shadows Waves,Led Zeppelin,Midnight Sessions,2024,ROCK,227,514013
180,Hollow Truth,Nirvana,Horizon Sessions,2023,ROCK,237,741666
181,Hollow Fire,Guns N' Roses,Fragile Sessions,2003,ROCK,286,283201
182,Storm Reflection,Louis Armstrong,Sunset Sessions,2000,JAZZ,239,456732
183,Fragile Motion,Black Sabbath,Neon Sessions,1990,METAL,338,257420
184,Chaos Nights,Black Sabbath,Neon Sessions,1998,METAL,182,786931
185,Echoes Fate,Drake,Static Sessions,1994,HIP_HOP,206,30094
186,Fever Waves,Jay-Z,Electric Sessions,2001,HIP_HOP,174,372060
187,Neon Waves,Metallica,Neon Sessions,2008,METAL,299,289688
188,Midnight Silence,Nina Simone,Lonely Sessions,1975,JAZZ,181,755053
189,Velvet Reflection,Kendrick Lamar,Sunset Sessions,1985,HIP_HOP,296,499219
190,Reckless Illusion,Ludwig van Beethoven,Crystal Sessions,2020,CLASSIQUE,124,97573
191,Wild Memory,Adele,Reckless Sessions,1985,POP,198,696212
192,Fallen Illusion,Frank Sinatra,Whispers Sessions,2003,JAZZ,208,446173
193,Whispers Waves,Avicii,Fallen Sessions,2014,ELECTRONIC,236,284076
194,Neon Love,Adele,Golden Sessions,2016,POP,169,330876
195,Fragile Reflection,Nirvana,Sunset Sessions,2014,ROCK,167,200845
196,Fragile Illusion,Madonna,Neon Sessions,2016,POP,270,797135
197,Ashes Light,Miles Davis,Golden Sessions,2023,JAZZ,169,310636
198,Fallen Fire,Ed Sheeran,Distant Sessions,1970,POP,301,560081
199,Neon Heart,Guns N' Roses,Fading Sessions,2005,ROCK,194,731295
200,Horizon Illusion,Guns N' Roses,Golden Sessions,1970,ROCK,266,298151
201,Velvet Freedom,Jay-Z,Endless Sessions,1981,HIP_HOP,133,264742
202,Velvet Road,Dolly Parton,Ghost Sessions,1974,COUNTRY,222,515633
203,Echoes Heart,Led Zeppelin,Silent Sessions,1979,ROCK,327,590180
204,Broken Love,Adele,Golden Sessions,2005,POP,315,436390
205,Ashes Fate,Louis Armstrong,Wild Sessions,2019,JAZZ,253,398855
206,Chaos Freedom,Drake,Distant Sessions,2007,HIP_HOP,229,320214
207,Ashes Heart,Frank Sinatra,Ashes Sessions,2017,JAZZ,145,799787
208,Horizon Sky,Madonna,Neon Sessions,2012,POP,140,164686
209,Electric Reflection,Ed Sheeran,Broken Sessions,1980,POP,120,428361
210,Reckless Fate,Drake,Velvet Sessions,1988,HIP_HOP,128,242720
211,Reckless Light,Adele,Reckless Sessions,1999,POP,138,720775
212,Chaos Streets,Ed Sheeran,Storm Sessions,2020,POP,280,618439
213,Storm Sky,Antonio Vivaldi,Hollow Sessions,1977,CLASSIQUE,259,235729
214,Silent Streets,Ludwig van Beethoven,Ghost Sessions,1979,CLASSIQUE,138,62535
215,Storm Light,Michael Jackson,Ashes Sessions,2017,POP,331,596856
216,Distant Freedom,Bob Marley,Golden Sessions,1999,REGGAE,296,318862
217,Burning Streets,Daft Punk,Shadows Sessions,2004,ELECTRONIC,246,459023
218,Ashes Heart,Led Zeppelin,Wonder Sessions,1997,ROCK,308,337978
219,Neon Dreams,Louis Armstrong,Broken Sessions,1984,JAZZ,292,603139
220,Midnight Streets,Frank Sinatra,Echoes Sessions,1972,JAZZ,315,793005
221,Velvet Silence,Michael Jackson,Horizon Sessions,1998,POP,354,291668
222,Echoes Tears,Michael Jackson,Horizon Sessions,2022,POP,245,95674
223,Fallen Tears,Jay-Z,Endless Sessions,1990,HIP_HOP,291,109680
224,Electric Waves,Dolly Parton,Hollow Sessions,2014,COUNTRY,246,302218
225,Burning Reflection,Antonio Vivaldi,Fading Sessions,1999,CLASSIQUE,142,329795
226,Endless Road,The Weeknd,Sunset Sessions,1995,RNB,341,539593
227,Midnight Reflection,Black Sabbath,Crystal Sessions,1996,METAL,133,196694
228,Fallen Fate,Miles Davis,Sunset Sessions,2001,JAZZ,280,463513
229,Fading Sky,Deadmau5,Neon Sessions,2005,ELECTRONIC,153,302020
230,Wonder Illusion,Drake,Golden Sessions,1971,HIP_HOP,281,638448
231,Wild Fire,Metallica,Distant Sessions,2005,METAL,123,579077
232,Broken Love,Kendrick Lamar,Ghost Sessions,1977,HIP_HOP,238,123172
233,Ghost Rain,Ludwig van Beethoven,Velvet Sessions,2015,CLASSIQUE,194,533590
234,Neon Tears,Daft Punk,Ghost Sessions,2000,ELECTRONIC,240,255570
235,Whispers Rain,Drake,Burning Sessions,1982,HIP_HOP,355,628492
236,Fragile Rain,Miles Davis,Fever Sessions,1974,JAZZ,190,435098
237,Chaos Silence,The Beatles,Neon Sessions,2022,ROCK,120,296578
238,Distant Motion,Avicii,Echoes Sessions,2012,ELECTRONIC,245,155813
239,Whispers Illusion,Drake,Fallen Sessions,1991,HIP_HOP,261,799929
240,Burning Freedom,Nina Simone,Chaos Sessions,1990,JAZZ,342,197816
241,Wild Motion,Daft Punk,Burning Sessions,1984,ELECTRONIC,339,430728
242,Endless Illusion,Eagles,Reckless Sessions,2021,ROCK,217,404832
243,Storm Rain,Antonio Vivaldi,Velvet Sessions,1972,CLASSIQUE,152,526690
244,Endless Road,Frank Sinatra,Fever Sessions,2024,JAZZ,232,104555
245,Chaos Freedom,Miles Davis,Midnight Sessions,2016,JAZZ,156,429893
246,Horizon Rain,Dolly Parton,Broken Sessions,2000,COUNTRY,320,277896
247,Ashes Memory,The Beatles,Horizon Sessions,1975,ROCK,338,344525
248,Static Reflection,Dolly Parton,Burning Sessions,1990,COUNTRY,280,753629
249,Sunset Illusion,Johnny Cash,Fever Sessions,2004,COUNTRY,129,647453
250,Wild Light,Led Zeppelin,Wild Sessions,2017,ROCK,143,455052
251,Sunset Road,Nirvana,Crystal Sessions,1980,ROCK,297,314012
252,Midnight Heart,Johnny Cash,Endless Sessions,2020,COUNTRY,134,307618
253,Fallen Tears,Eminem,Silent Sessions,1985,HIP_HOP,255,432067
254,Static Fire,Frank Sinatra,Electric Sessions,1981,JAZZ,140,639098
255,Burning Fate,Dolly Parton,Static Sessions,1985,COUNTRY,247,611484
256,Wild Freedom,Guns N' Roses,Horizon Sessions,1986,ROCK,237,267729
257,Midnight Freedom,Antonio Vivaldi,Wonder Sessions,1988,CLASSIQUE,293,573149
258,Broken Freedom,Michael Jackson,Fallen Sessions,2007,POP,196,669975
259,Reckless Streets,Kendrick Lamar,Crystal Sessions,2024,HIP_HOP,197,208894
260,Fever Illusion,Travis Scott,Golden Sessions,1985,HIP_HOP,217,599704
261,Echoes Light,Eminem,Reckless Sessions,1988,HIP_HOP,125,690203
262,Neon Dreams,Travis Scott,Echoes Sessions,2013,HIP_HOP,319,780841
263,Chaos Fate,Eagles,Fragile Sessions,2001,ROCK,333,300096
264,Storm Love,Deadmau5,Ashes Sessions,2021,ELECTRONIC,210,229642
265,Lonely Fate,Ludwig van Beethoven,Neon Sessions,2013,CLASSIQUE,313,755948
266,Static Rain,Deadmau5,Horizon Sessions,1976,ELECTRONIC,351,657937
267,Fading Light,Ludwig van Beethoven,Storm Sessions,1998,CLASSIQUE,128,607727
268,Fragile Rain,Eminem,Broken Sessions,1988,HIP_HOP,203,783790
269,Electric Sky,Kendrick Lamar,Silent Sessions,2020,HIP_HOP,258,383629
270,Shadows Streets,Miles Davis,Ghost Sessions,1980,JAZZ,185,505254
271,Distant Waves,Metallica,Storm Sessions,1977,METAL,239,78957
272,Sunset Love,Guns N' Roses,Fever Sessions,2013,ROCK,305,707166
273,Fever Reflection,Travis Scott,Fallen Sessions,1975,HIP_HOP,322,413741
274,Neon Reflection,Queen,Golden Sessions,1999,ROCK,214,705511
275,Static Streets,Avicii,Echoes Sessions,1994,ELECTRONIC,330,669567
276,Golden Love,Eminem,Velvet Sessions,1971,HIP_HOP,278,588678
277,Chaos Fate,The Beatles,Wild Sessions,2011,ROCK,136,666269
278,Crystal Light,Black Sabbath,Horizon Sessions,1996,METAL,149,146566
279,Fading Light,Eagles,Velvet Sessions,1977,ROCK,144,246205
280,Whispers Rain,Johnny Cash,Burning Sessions,1999,COUNTRY,214,703055
281,Reckless Reflection,Avicii,Hollow Sessions,2007,ELECTRONIC,310,761894
282,Wonder Tears,Guns N' Roses,Horizon Sessions,1976,ROCK,333,513117
283,Hollow Streets,Louis Armstrong,Fading Sessions,2014,JAZZ,214,227823
284,Crystal Love,Drake,Fever Sessions,1993,HIP_HOP,145,718987
285,Whispers Truth,Eminem,Fading Sessions,1995,HIP_HOP,190,199028
286,Fever Freedom,Nirvana,Broken Sessions,2012,ROCK,174,672875
287,Ashes Dreams,Ludwig van Beethoven,Fading Sessions,2020,CLASSIQUE,205,255400
288,Storm Motion,Guns N' Roses,Lonely Sessions,1974,ROCK,332,581128
289,Echoes Sky,Madonna,Ghost Sessions,1984,POP,204,154721
290,Wonder Fate,Metallica,Midnight Sessions,1987,METAL,339,151716
291,Whispers Streets,Guns N' Roses,Storm Sessions,1981,ROCK,148,693169
292,Midnight Rain,Dolly Parton,Midnight Sessions,1992,COUNTRY,322,249489
293,Endless Dreams,Frank Sinatra,Electric Sessions,1986,JAZZ,133,132915
294,Hollow Silence,Avicii,Golden Sessions,2017,ELECTRONIC,136,499380
295,Sunset Truth,Drake,Shadows Sessions,2007,HIP_HOP,147,473962
296,Wild Fate,Miles Davis,Fading Sessions,2016,JAZZ,320,690909
297,Distant Freedom,Miles Davis,Horizon Sessions,1971,JAZZ,135,502248
298,Burning Tears,Dolly Parton,Static Sessions,1976,COUNTRY,245,747006
299,Crystal Nights,Bob Marley,Wonder Sessions,1975,REGGAE,202,637846
300,Broken Rain,Guns N' Roses,Neon Sessions,2009,ROCK,282,613799
301,Reckless Waves,Nina Simone,Burning Sessions,2008,JAZZ,255,309222
302,Shadows Fate,Drake,Hollow Sessions,1976,HIP_HOP,323,735869
303,Fever Reflection,Nirvana,Fragile Sessions,1983,ROCK,230,473489
304,Wild Tears,Johnny Cash,Endless Sessions,2022,COUNTRY,236,418098
305,Fragile Road,Kendrick Lamar,Endless Sessions,1997,HIP_HOP,200,697416
306,Fallen Rain,The Weeknd,Static Sessions,2000,RNB,137,95656
307,Broken Nights,Black Sabbath,Hollow Sessions,1976,METAL,310,774683
308,Storm Rain,Eminem,Whispers Sessions,1973,HIP_HOP,270,588866
309,Endless Road,Nina Simone,Hollow Sessions,1992,JAZZ,343,697660
310,Hollow Heart,Deadmau5,Distant Sessions,2008,ELECTRONIC,199,368727
311,Echoes Silence,Nirvana,Lonely Sessions,1979,ROCK,288,505612
312,Fever Road,Ed Sheeran,Fallen Sessions,2024,POP,262,385415
313,Sunset Streets,Nirvana,Echoes Sessions,1984,ROCK,326,449956
314,Whispers Fate,Dolly Parton,Ashes Sessions,2013,COUNTRY,284,583783
315,Ashes Streets,Queen,Midnight Sessions,1981,ROCK,189,736833
316,Distant Waves,Deadmau5,Fallen Sessions,1970,ELECTRONIC,166,150210
317,Static Memory,Frank Sinatra,Broken Sessions,1979,JAZZ,309,663928
318,Broken Silence,Queen,Lonely Sessions,1994,ROCK,227,475682
319,Electric Truth,The Beatles,Distant Sessions,2016,ROCK,203,595164
320,Broken Heart,Louis Armstrong,Silent Sessions,1980,JAZZ,313,647850
321,Static Nights,Eagles,Neon Sessions,1998,ROCK,289,444611
322,Ashes Freedom,Jay-Z,Hollow Sessions,1987,HIP_HOP,175,791615
323,Golden Truth,Miles Davis,Hollow Sessions,1977,JAZZ,192,711163
324,Echoes Illusion,Antonio Vivaldi,Shadows Sessions,2012,CLASSIQUE,198,47623
325,Burning Fate,Ed Sheeran,Fading Sessions,1970,POP,172,316061
326,Sunset Rain,Madonna,Sunset Sessions,1986,POP,194,344061
327,Midnight Illusion,Nirvana,Fragile Sessions,1997,ROCK,164,135461
328,Whispers Love,Travis Scott,Shadows Sessions,2005,HIP_HOP,333,700499
329,Fallen Nights,Metallica,Burning Sessions,2017,METAL,130,457409
330,Crystal Nights,Queen,Fever Sessions,1990,ROCK,267,450137
331,Burning Tears,Frank Sinatra,Distant Sessions,1977,JAZZ,223,21869
332,Electric Fate,The Beatles,Crystal Sessions,2023,ROCK,296,379430
333,Hollow Road,Led Zeppelin,Wild Sessions,1997,ROCK,270,419902
334,Broken Memory,Miles Davis,Fever Sessions,1989,JAZZ,310,356005
335,Endless Fire,Ed Sheeran,Broken Sessions,2002,POP,282,119565
336,Shadows Sky,Miles Davis,Wonder Sessions,2019,JAZZ,209,368154
337,Ghost Rain,Avicii,Wild Sessions,1976,ELECTRONIC,157,268402
338,Electric Fate,Madonna,Silent Sessions,2018,POP,314,687351
339,Electric Illusion,Led Zeppelin,Crystal Sessions,2018,ROCK,264,796788
340,Crystal Motion,Frank Sinatra,Horizon Sessions,2010,JAZZ,279,338908
341,Horizon Waves,Dolly Parton,Silent Sessions,1998,COUNTRY,137,491699
342,Horizon Light,Drake,Storm Sessions,1987,HIP_HOP,271,58900
343,Shadows Nights,Eminem,Distant Sessions,1999,HIP_HOP,235,39434
344,Fallen Light,Eagles,Broken Sessions,2011,ROCK,341,94682
345,Ashes Silence,Louis Armstrong,Burning Sessions,1999,JAZZ,268,581242
346,Fragile Heart,Metallica,Crystal Sessions,2021,METAL,266,683501
347,Endless Fate,Madonna,Velvet Sessions,2002,POP,158,64879
348,Golden Waves,Drake,Reckless Sessions,1975,HIP_HOP,249,677513
349,Fading Love,Michael Jackson,Reckless Sessions,1998,POP,232,549525
350,Ashes Fire,Miles Davis,Fallen Sessions,1993,JAZZ,354,296635
351,Hollow Waves,Travis Scott,Static Sessions,2008,HIP_HOP,133,661532
352,Endless Nights,Ludwig van Beethoven,Endless Sessions,1976,CLASSIQUE,262,711332
353,Distant Streets,Travis Scott,Fragile Sessions,2024,HIP_HOP,288,631977
354,Silent Waves,Dolly Parton,Broken Sessions,2007,COUNTRY,289,148298
355,Fallen Light,Bob Marley,Horizon Sessions,2014,REGGAE,289,410997
